iter	MultiClass
0	1.04003911
1	0.9828349699
2	0.9271916057
3	0.8814291541
4	0.8406077403
5	0.8030325648
6	0.7584120764
7	0.7328930974
8	0.700137929
9	0.6737154931
10	0.65272529
11	0.6283992989
12	0.609125212
13	0.5896081958
14	0.5718094093
15	0.5563840735
16	0.5417249854
17	0.5303811505
18	0.5151652172
19	0.5013146352
20	0.4879518208
21	0.4790355687
22	0.4697953107
23	0.4590377701
24	0.4504442425
25	0.4409478107
26	0.4339723792
27	0.4244127708
28	0.4157300601
29	0.4062643077
30	0.3991471264
31	0.3914789691
32	0.3835390723
33	0.3786245487
34	0.3742690441
35	0.3706180903
36	0.3642416211
37	0.3582309418
38	0.3542053635
39	0.3500666083
40	0.3446082534
41	0.3409440961
42	0.3390166987
43	0.3351328502
44	0.3309436042
45	0.3267482946
46	0.3237112202
47	0.3208523341
48	0.3188646664
49	0.3154926157
50	0.3129133552
51	0.3109306822
52	0.309801843
53	0.306802817
54	0.3038396447
55	0.301099472
56	0.2990105414
57	0.2972521139
58	0.2953089075
59	0.2930766586
60	0.291731002
61	0.2890788695
62	0.2867788643
63	0.2847875636
64	0.2832032537
65	0.2816920277
66	0.2799434433
67	0.2785070558
68	0.2771821093
69	0.2761262734
70	0.2747125082
71	0.2726058524
72	0.2713121357
73	0.269805289
74	0.2679832295
75	0.2667451936
76	0.2654000232
77	0.2638984022
78	0.2620840693
79	0.260503814
80	0.2587058769
81	0.2573177251
82	0.2560431178
83	0.2549379742
84	0.2532134775
85	0.2520102823
86	0.2509581885
87	0.249996567
88	0.248423633
89	0.2475145267
90	0.2459297411
91	0.2444274332
92	0.2431120122
93	0.2415708254
94	0.2407589114
95	0.2400441054
96	0.239375954
97	0.2385786881
98	0.2375496356
99	0.2364656594
100	0.2352352749
101	0.2343567574
102	0.2334208345
103	0.2322365624
104	0.2315257498
105	0.2303354268
106	0.2293101599
107	0.2285634609
108	0.2270285083
109	0.2257903585
110	0.224578738
111	0.2235810727
112	0.2227708162
113	0.2217628026
114	0.2206887412
115	0.2194464063
116	0.218685736
117	0.21792974
118	0.2172763485
119	0.2163063316
120	0.215176025
121	0.2143255278
122	0.2134646232
123	0.2129086649
124	0.2120108598
125	0.211178586
126	0.2102504138
127	0.2093108056
128	0.208487656
129	0.2076168409
130	0.2069852196
131	0.2061461933
132	0.205633266
133	0.2051074461
134	0.2046867949
135	0.2041210126
136	0.203320417
137	0.2028135308
138	0.2022795677
139	0.2016657865
140	0.2009321368
141	0.2001208317
142	0.1997805368
143	0.1994433613
144	0.1987313837
145	0.198124548
146	0.1974426197
147	0.1969285146
148	0.1962527034
149	0.1957910373
150	0.1954090397
151	0.1944423091
152	0.1938356957
153	0.1929759166
154	0.1925473812
155	0.1918557923
156	0.1913246884
157	0.1909200343
158	0.190317813
159	0.1897317394
160	0.1892308113
161	0.1886852051
162	0.1883174992
163	0.1875412591
164	0.1870486253
165	0.1864884562
166	0.1859539671
167	0.1857788227
168	0.185426376
169	0.1848579315
170	0.1840925759
171	0.1834672746
172	0.1830334989
173	0.1824148677
174	0.1819264526
175	0.1816267679
176	0.1812975007
177	0.1807331173
178	0.1801013311
179	0.1796226268
180	0.1792670786
181	0.1789143508
182	0.1785934024
183	0.1783667754
184	0.1781021837
185	0.1774378453
186	0.1769091706
187	0.1765099094
188	0.1759259558
